Key,2014,2013,2012,2011,Start,Grade,Pay/Free/Unk/NA,APC,Note,Subject,Group,Area
XN06232,,,,,2012,X,N,$85 ,Pop-up ad windows with every action!,Science,Sci,S
XN03028,,,,,2012,X,N,$85 ,Pop-up ad windows with every action!,Zoology,E&L,S
XN03602,,,,,2012,X,N,$85 ,Pop-up ad windows with every action!,Zoology,E&L,S
XN08208,,,,,2012,X,N,$85 ,Pop-up ad windows with every action!,Zoology,E&L,S
XN02098,,,,,2011,X,N,$50 ,Malware site,Economics,SS,H
XN02195,,,,,1997,X,N,$0 ,404,Agriculture,E&L,S
XN06888,,,,,1998,X,N,$0 ,unsafe site ,Agriculture,E&L,S
XN07102,,,,,2000,X,N,$0 ,404,Agriculture,E&L,S
XN08971,,,,,2005,X,N,$0 ,404,Agriculture,E&L,S
XN09384,,,,,2005,X,N,$0 ,404,Agriculture,E&L,S
XN03636,,,,,2007,X,N,$0 ,404,Agriculture,E&L,S
XN08474,,,,,2009,X,N,$0 ,Archives unreachable/borked,Agriculture,E&L,S
XN01514,,,,,2011,X,N,$0 ,404,Agriculture,E&L,S
XN06675,,,,,2011,X,N,$0 ,Empty page,Agriculture,E&L,S
XN02917,,,,,2012,X,N,$0 ,Archives unreachable/borked,Agriculture,E&L,S
XN04395,,,,,2012,X,N,$0 ,Disappeared/borked,Agriculture,E&L,S
XN05849,,,,,2012,X,N,$0 ,,Agriculture,E&L,S
XN07918,,,,,2012,X,N,$0 ,Archives unreachable/borked,Agriculture,E&L,S
XN05710,,,,,1999,X,N,$0 ,404,Anthropology,SS,H
XN01562,,,,,2005,X,N,$0 ,Site unworkable,Anthropology,SS,H
XN0295,,,,,2006,X,N,$0 ,Empty site,Anthropology,SS,H
XN03376,,,,,2006,X,N,$0 ,404,Anthropology,SS,H
XN06457,,,,,2011,X,N,$0 ,404,Anthropology,SS,H
XN06931,,,,,2011,X,N,$0 ,404,Anthropology,SS,H
XN09719,,,,,2011,X,N,$0 ,404,Anthropology,SS,H
XN06362,,,,,2012,X,N,$0 ,404,Anthropology,SS,H
XN08448,,,,,2012,X,N,$0 ,404,Anthropology,SS,H
XN07276,,,,,1995,X,N,$0 ,404,Arts & Architecture,H,H
XN09903,,,,,2004,X,N,$0 ,Malware site,Arts & Architecture,H,H
XN0904,,,,,2006,X,N,$0 ,Unreachable,Arts & Architecture,H,H
XN01958,,,,,2007,X,N,$0 ,404,Arts & Architecture,H,H
XN06619,,,,,2011,X,N,$0 ,Disappeared/borked,Arts & Architecture,H,H
XN02033,,,,,2009,X,N,$0 ,Archives unreachable/borked,Biology,B,M
XN0980,,,,,2011,X,N,$0 ,404,Biology,B,M
XN09929,,,,,2011,X,N,$0 ,Archives unreachable/borked,Biology,B,M
XN04722,,,,,2001,X,N,$0 ,Archives unreachable/borked,Chemistry,Sci,S
XN03276,,,,,2006,X,N,$0 ,Unreachable,Chemistry,Sci,S
XN04380,,,,,2009,X,N,$0 ,Archives unreachable/borked,Chemistry,Sci,S
XN03377,,,,,1993,X,N,$0 ,no response,Computer science,M&C,S
XN03023,,,,,2004,X,N,$0 ,Unreachable,Computer science,M&C,S
XN07869,,,,,2008,X,N,$0 ,Issues never show up,Computer science,M&C,S
XN05273,,,,,2009,X,N,$0 ,404,Computer science,M&C,S
XN03984,,,,,2010,X,N,$0 ,404,Computer science,M&C,S
XN08880,,,,,2010,X,N,$0 ,404,Computer science,M&C,S
XN09433,,,,,2010,X,N,$0 ,404,Computer science,M&C,S
XN06163,,,,,2011,X,N,$0 ,404,Computer science,M&C,S
